YearEnd,LocationDesc,Question,Data_Value,Age_years,GeoLocation
2016,Maryland,Percent of adults aged 18 years and older who have obesity,31.7,35 - 44,"(39.290580964, -76.609260111)"
2016,District of Columbia,Percent of adults aged 18 years and older who have obesity,27.0,45 - 54,"(38.890371385, -77.031961127)"
2016,New Hampshire,Percent of adults aged 18 years and older who have obesity,26.5,65 or older,"(43.655950113, -71.50036092)"
2016,New Hampshire,Percent of adults aged 18 years and older who have obesity,30.8,45 - 54,"(43.655950113, -71.50036092)"
2016,Delaware,Percent of adults aged 18 years and older who have obesity,19.3,18 - 24,"(39.008830667, -75.577741168)"
2016,Vermont,Percent of adults aged 18 years and older who have obesity,25.9,65 or older,"(43.625381239, -72.517640791)"
2016,Missouri,Percent of adults aged 18 years and older who have obesity,30.1,65 or older,"(38.635790776, -92.566300053)"
2016,Massachusetts,Percent of adults aged 18 years and older who have obesity,19.4,25 - 34,"(42.27687047, -72.082690675)"
2016,Nebraska,Percent of adults aged 18 years and older who have obesity,17.2,18 - 24,"(41.641040988001, -99.365720623)"
2016,Ohio,Percent of adults aged 18 years and older who have obesity,16.6,18 - 24,"(40.060210141, -82.404260056)"
2016,Wyoming,Percent of adults aged 18 years and older who have obesity,34.9,45 - 54,"(43.235541343, -108.109830353)"
2016,New Jersey,Percent of adults aged 18 years and older who have obesity,28.0,65 or older,"(40.130570048, -74.273691288)"
2016,Missouri,Percent of adults aged 18 years and older who have obesity,35.4,35 - 44,"(38.635790776, -92.566300053)"
2016,Idaho,Percent of adults aged 18 years and older who have obesity,35.1,45 - 54,"(43.682630005, -114.363730042)"
2016,North Carolina,Percent of adults aged 18 years and older who have obesity,30.4,25 - 34,"(35.466220975, -79.159250463)"
2016,Alaska,Percent of adults aged 18 years and older who have obesity,31.2,25 - 34,"(64.845079957001, -147.722059036)"
2016,Colorado,Percent of adults aged 18 years and older who have obesity,26.9,55 - 64,"(38.843840757, -106.133610921)"
2016,Pennsylvania,Percent of adults aged 18 years and older who have obesity,36.7,45 - 54,"(40.793730152, -77.860700294)"
2016,Oregon,Percent of adults aged 18 years and older who have obesity,27.7,65 or older,"(44.567449424, -120.155031326)"
2016,Alaska,Percent of adults aged 18 years and older who have obesity,15.1,18 - 24,"(64.845079957001, -147.722059036)"
2016,Rhode Island,Percent of adults aged 18 years and older who have obesity,25.2,65 or older,"(41.708280193, -71.522470314)"
2016,Minnesota,Percent of adults aged 18 years and older who have obesity,32.7,55 - 64,"(46.355648736, -94.794200503)"
2016,Oregon,Percent of adults aged 18 years and older who have obesity,17.4,18 - 24,"(44.567449424, -120.155031326)"
2016,Michigan,Percent of adults aged 18 years and older who have obesity,21.7,18 - 24,"(44.661319543001, -84.71439027)"
2016,North Carolina,Percent of adults aged 18 years and older who have obesity,17.7,18 - 24,"(35.466220975, -79.159250463)"
2016,Florida,Percent of adults aged 18 years and older who have obesity,14.9,18 - 24,"(28.932040377, -81.928960539)"
2016,District of Columbia,Percent of adults aged 18 years and older who have obesity,24.0,65 or older,"(38.890371385, -77.031961127)"
2016,Nebraska,Percent of adults aged 18 years and older who have obesity,29.9,65 or older,"(41.641040988001, -99.365720623)"
2016,Nevada,Percent of adults aged 18 years and older who have obesity,24.8,25 - 34,"(39.49324039, -117.071840564)"
2016,Guam,Percent of adults aged 18 years and older who have obesity,26.9,55 - 64,"(13.444304, 144.793731)"
2016,Alaska,Percent of adults aged 18 years and older who have obesity,40.3,35 - 44,"(64.845079957001, -147.722059036)"
2016,West Virginia,Percent of adults aged 18 years and older who have obesity,35.4,25 - 34,"(38.665510202, -80.712640135)"
2016,Utah,Percent of adults aged 18 years and older who have obesity,26.8,65 or older,"(39.360700171, -111.587130635)"
2016,Connecticut,Percent of adults aged 18 years and older who have obesity,30.4,55 - 64,"(41.56266102, -72.649840952)"
2016,Ohio,Percent of adults aged 18 years and older who have obesity,29.7,65 or older,"(40.060210141, -82.404260056)"
2016,Oklahoma,Percent of adults aged 18 years and older who have obesity,30.5,65 or older,"(35.472031356, -97.521070214)"
2016,Nebraska,Percent of adults aged 18 years and older who have obesity,34.6,35 - 44,"(41.641040988001, -99.365720623)"
2016,Connecticut,Percent of adults aged 18 years and older who have obesity,24.2,25 - 34,"(41.56266102, -72.649840952)"
2016,Oklahoma,Percent of adults aged 18 years and older who have obesity,40.2,35 - 44,"(35.472031356, -97.521070214)"
2016,South Dakota,Percent of adults aged 18 years and older who have obesity,27.3,65 or older,"(44.353130053, -100.373530637)"
2016,Wisconsin,Percent of adults aged 18 years and older who have obesity,34.6,65 or older,"(44.393191174, -89.816370742)"
2016,Minnesota,Percent of adults aged 18 years and older who have obesity,16.1,18 - 24,"(46.355648736, -94.794200503)"
2016,North Carolina,Percent of adults aged 18 years and older who have obesity,28.6,65 or older,"(35.466220975, -79.159250463)"
2016,Kansas,Percent of adults aged 18 years and older who have obesity,36.8,55 - 64,"(38.3477403, -98.200781227)"
2016,Iowa,Percent of adults aged 18 years and older who have obesity,30.9,65 or older,"(42.469400913, -93.816490556)"
2016,Kentucky,Percent of adults aged 18 years and older who have obesity,37.9,55 - 64,"(37.645970271, -84.774971048)"
2016,Massachusetts,Percent of adults aged 18 years and older who have obesity,14.5,18 - 24,"(42.27687047, -72.082690675)"
2016,Kentucky,Percent of adults aged 18 years and older who have obesity,33.7,25 - 34,"(37.645970271, -84.774971048)"
2016,Idaho,Percent of adults aged 18 years and older who have obesity,25.2,65 or older,"(43.682630005, -114.363730042)"
2016,Wisconsin,Percent of adults aged 18 years and older who have obesity,14.8,18 - 24,"(44.393191174, -89.816370742)"
2016,Delaware,Percent of adults aged 18 years and older who have obesity,35.6,35 - 44,"(39.008830667, -75.577741168)"
2016,California,Percent of adults aged 18 years and older who have obesity,28.9,55 - 64,"(37.638640123, -120.999999538)"
2016,Colorado,Percent of adults aged 18 years and older who have obesity,12.8,18 - 24,"(38.843840757, -106.133610921)"
2016,New Hampshire,Percent of adults aged 18 years and older who have obesity,26.1,35 - 44,"(43.655950113, -71.50036092)"
2016,California,Percent of adults aged 18 years and older who have obesity,23.5,65 or older,"(37.638640123, -120.999999538)"
2016,Utah,Percent of adults aged 18 years and older who have obesity,23.1,25 - 34,"(39.360700171, -111.587130635)"
2016,Minnesota,Percent of adults aged 18 years and older who have obesity,28.4,35 - 44,"(46.355648736, -94.794200503)"
2016,Montana,Percent of adults aged 18 years and older who have obesity,29.1,55 - 64,"(47.066528972, -109.424420645)"
2016,Montana,Percent of adults aged 18 years and older who have obesity,26.9,35 - 44,"(47.066528972, -109.424420645)"
2016,Alabama,Percent of adults aged 18 years and older who have obesity,40.7,55 - 64,"(32.840571122, -86.631860762)"
2016,Maryland,Percent of adults aged 18 years and older who have obesity,35.5,55 - 64,"(39.290580964, -76.609260111)"
2016,Maine,Percent of adults aged 18 years and older who have obesity,28.7,65 or older,"(45.254228894001, -68.985031336)"
2016,Georgia,Percent of adults aged 18 years and older who have obesity,27.6,25 - 34,"(32.839681093, -83.627580346)"
2016,Maine,Percent of adults aged 18 years and older who have obesity,20.7,18 - 24,"(45.254228894001, -68.985031336)"
2016,Arkansas,Percent of adults aged 18 years and older who have obesity,27.6,65 or older,"(34.748650124, -92.274490743)"
2016,Louisiana,Percent of adults aged 18 years and older who have obesity,25.9,18 - 24,"(31.312660644, -92.445680071)"
2016,New York,Percent of adults aged 18 years and older who have obesity,27.7,35 - 44,"(42.827001032, -75.543970427)"
2016,Nevada,Percent of adults aged 18 years and older who have obesity,29.3,55 - 64,"(39.49324039, -117.071840564)"
2016,Virgin Islands,Percent of adults aged 18 years and older who have obesity,19.3,65 or older,"(18.335765, -64.896335)"
2016,California,Percent of adults aged 18 years and older who have obesity,14.5,18 - 24,"(37.638640123, -120.999999538)"
2016,Indiana,Percent of adults aged 18 years and older who have obesity,35.0,35 - 44,"(39.766910452, -86.149960194)"
2016,Alabama,Percent of adults aged 18 years and older who have obesity,43.0,35 - 44,"(32.840571122, -86.631860762)"
2016,Wyoming,Percent of adults aged 18 years and older who have obesity,21.3,25 - 34,"(43.235541343, -108.109830353)"
2016,Ohio,Percent of adults aged 18 years and older who have obesity,34.6,35 - 44,"(40.060210141, -82.404260056)"
2016,Tennessee,Percent of adults aged 18 years and older who have obesity,22.5,18 - 24,"(35.68094058, -85.774490914)"
2016,Maryland,Percent of adults aged 18 years and older who have obesity,34.6,45 - 54,"(39.290580964, -76.609260111)"
2016,Minnesota,Percent of adults aged 18 years and older who have obesity,32.6,45 - 54,"(46.355648736, -94.794200503)"
2016,Tennessee,Percent of adults aged 18 years and older who have obesity,28.6,65 or older,"(35.68094058, -85.774490914)"
2016,Vermont,Percent of adults aged 18 years and older who have obesity,30.1,55 - 64,"(43.625381239, -72.517640791)"
2016,Maryland,Percent of adults aged 18 years and older who have obesity,29.2,65 or older,"(39.290580964, -76.609260111)"
2016,New Mexico,Percent of adults aged 18 years and older who have obesity,29.8,55 - 64,"(34.520880952, -106.240580985)"
2016,South Dakota,Percent of adults aged 18 years and older who have obesity,38.6,35 - 44,"(44.353130053, -100.373530637)"
2016,Iowa,Percent of adults aged 18 years and older who have obesity,38.7,35 - 44,"(42.469400913, -93.816490556)"
2016,Kansas,Percent of adults aged 18 years and older who have obesity,35.9,45 - 54,"(38.3477403, -98.200781227)"
2016,Mississippi,Percent of adults aged 18 years and older who have obesity,47.5,35 - 44,"(32.745510099, -89.538030825)"
2016,Tennessee,Percent of adults aged 18 years and older who have obesity,39.3,45 - 54,"(35.68094058, -85.774490914)"
2016,Arizona,Percent of adults aged 18 years and older who have obesity,33.8,55 - 64,"(34.86597028, -111.763811277)"
2016,Tennessee,Percent of adults aged 18 years and older who have obesity,40.7,55 - 64,"(35.68094058, -85.774490914)"
2016,Pennsylvania,Percent of adults aged 18 years and older who have obesity,27.3,25 - 34,"(40.793730152, -77.860700294)"
2016,Kentucky,Percent of adults aged 18 years and older who have obesity,40.7,35 - 44,"(37.645970271, -84.774971048)"
2016,Puerto Rico,Percent of adults aged 18 years and older who have obesity,25.0,65 or older,"(18.220833, -66.590149)"
2016,Wyoming,Percent of adults aged 18 years and older who have obesity,16.0,18 - 24,"(43.235541343, -108.109830353)"
2016,Nebraska,Percent of adults aged 18 years and older who have obesity,39.7,45 - 54,"(41.641040988001, -99.365720623)"
2016,Louisiana,Percent of adults aged 18 years and older who have obesity,28.8,25 - 34,"(31.312660644, -92.445680071)"
2016,Arizona,Percent of adults aged 18 years and older who have obesity,28.5,25 - 34,"(34.86597028, -111.763811277)"
2016,Connecticut,Percent of adults aged 18 years and older who have obesity,13.4,18 - 24,"(41.56266102, -72.649840952)"
2016,Kansas,Percent of adults aged 18 years and older who have obesity,28.9,65 or older,"(38.3477403, -98.200781227)"
2016,Oklahoma,Percent of adults aged 18 years and older who have obesity,28.9,25 - 34,"(35.472031356, -97.521070214)"
2016,Virgin Islands,Percent of adults aged 18 years and older who have obesity,33.2,55 - 64,"(18.335765, -64.896335)"
2016,Florida,Percent of adults aged 18 years and older who have obesity,27.2,25 - 34,"(28.932040377, -81.928960539)"
2016,Maine,Percent of adults aged 18 years and older who have obesity,37.3,45 - 54,"(45.254228894001, -68.985031336)"
2016,Montana,Percent of adults aged 18 years and older who have obesity,23.6,25 - 34,"(47.066528972, -109.424420645)"
2016,Maine,Percent of adults aged 18 years and older who have obesity,33.0,55 - 64,"(45.254228894001, -68.985031336)"
2016,Nevada,Percent of adults aged 18 years and older who have obesity,16.9,18 - 24,"(39.49324039, -117.071840564)"
2016,Oklahoma,Percent of adults aged 18 years and older who have obesity,36.3,45 - 54,"(35.472031356, -97.521070214)"
2016,Montana,Percent of adults aged 18 years and older who have obesity,31.8,45 - 54,"(47.066528972, -109.424420645)"
2016,Michigan,Percent of adults aged 18 years and older who have obesity,38.0,35 - 44,"(44.661319543001, -84.71439027)"
2016,Indiana,Percent of adults aged 18 years and older who have obesity,32.4,25 - 34,"(39.766910452, -86.149960194)"
2016,Rhode Island,Percent of adults aged 18 years and older who have obesity,32.4,45 - 54,"(41.708280193, -71.522470314)"
2016,Virgin Islands,Percent of adults aged 18 years and older who have obesity,15.5,18 - 24,"(18.335765, -64.896335)"
2016,New Hampshire,Percent of adults aged 18 years and older who have obesity,13.7,18 - 24,"(43.655950113, -71.50036092)"
2016,Michigan,Percent of adults aged 18 years and older who have obesity,34.9,55 - 64,"(44.661319543001, -84.71439027)"
2016,Guam,Percent of adults aged 18 years and older who have obesity,18.2,18 - 24,"(13.444304, 144.793731)"
2016,Delaware,Percent of adults aged 18 years and older who have obesity,35.5,45 - 54,"(39.008830667, -75.577741168)"
2016,Kansas,Percent of adults aged 18 years and older who have obesity,28.7,25 - 34,"(38.3477403, -98.200781227)"
2016,Virginia,Percent of adults aged 18 years and older who have obesity,33.1,55 - 64,"(37.542680674, -78.457890463)"
2016,Oregon,Percent of adults aged 18 years and older who have obesity,32.2,35 - 44,"(44.567449424, -120.155031326)"
2016,Washington,Percent of adults aged 18 years and older who have obesity,28.3,65 or older,"(47.522278629, -120.47001079)"
2016,Arkansas,Percent of adults aged 18 years and older who have obesity,43.8,35 - 44,"(34.748650124, -92.274490743)"
2016,Texas,Percent of adults aged 18 years and older who have obesity,39.2,55 - 64,"(31.827240407, -99.426770206)"
2016,North Carolina,Percent of adults aged 18 years and older who have obesity,34.6,55 - 64,"(35.466220975, -79.159250463)"
2016,Maine,Percent of adults aged 18 years and older who have obesity,30.0,35 - 44,"(45.254228894001, -68.985031336)"
2016,Mississippi,Percent of adults aged 18 years and older who have obesity,38.4,25 - 34,"(32.745510099, -89.538030825)"
2016,Pennsylvania,Percent of adults aged 18 years and older who have obesity,34.2,55 - 64,"(40.793730152, -77.860700294)"
2016,Ohio,Percent of adults aged 18 years and older who have obesity,37.2,55 - 64,"(40.060210141, -82.404260056)"
2016,South Dakota,Percent of adults aged 18 years and older who have obesity,35.0,45 - 54,"(44.353130053, -100.373530637)"
2016,Arizona,Percent of adults aged 18 years and older who have obesity,25.9,65 or older,"(34.86597028, -111.763811277)"
2016,Puerto Rico,Percent of adults aged 18 years and older who have obesity,38.8,45 - 54,"(18.220833, -66.590149)"
2016,South Dakota,Percent of adults aged 18 years and older who have obesity,26.0,25 - 34,"(44.353130053, -100.373530637)"
2016,New Hampshire,Percent of adults aged 18 years and older who have obesity,29.1,55 - 64,"(43.655950113, -71.50036092)"
2016,Idaho,Percent of adults aged 18 years and older who have obesity,26.0,25 - 34,"(43.682630005, -114.363730042)"
2016,Delaware,Percent of adults aged 18 years and older who have obesity,34.1,55 - 64,"(39.008830667, -75.577741168)"
2016,Rhode Island,Percent of adults aged 18 years and older who have obesity,13.1,18 - 24,"(41.708280193, -71.522470314)"
2016,Massachusetts,Percent of adults aged 18 years and older who have obesity,26.9,45 - 54,"(42.27687047, -72.082690675)"
2016,West Virginia,Percent of adults aged 18 years and older who have obesity,32.4,65 or older,"(38.665510202, -80.712640135)"
2016,California,Percent of adults aged 18 years and older who have obesity,30.2,45 - 54,"(37.638640123, -120.999999538)"
2016,New Mexico,Percent of adults aged 18 years and older who have obesity,33.6,35 - 44,"(34.520880952, -106.240580985)"
2016,Tennessee,Percent of adults aged 18 years and older who have obesity,34.8,25 - 34,"(35.68094058, -85.774490914)"
2016,North Carolina,Percent of adults aged 18 years and older who have obesity,39.9,45 - 54,"(35.466220975, -79.159250463)"
2016,Vermont,Percent of adults aged 18 years and older who have obesity,18.7,18 - 24,"(43.625381239, -72.517640791)"
2016,Alabama,Percent of adults aged 18 years and older who have obesity,33.5,25 - 34,"(32.840571122, -86.631860762)"
2016,Alaska,Percent of adults aged 18 years and older who have obesity,35.0,45 - 54,"(64.845079957001, -147.722059036)"
2016,Massachusetts,Percent of adults aged 18 years and older who have obesity,25.1,65 or older,"(42.27687047, -72.082690675)"
2016,Alaska,Percent of adults aged 18 years and older who have obesity,30.0,55 - 64,"(64.845079957001, -147.722059036)"
2016,Maryland,Percent of adults aged 18 years and older who have obesity,16.3,18 - 24,"(39.290580964, -76.609260111)"
2016,Missouri,Percent of adults aged 18 years and older who have obesity,36.3,45 - 54,"(38.635790776, -92.566300053)"
2016,Delaware,Percent of adults aged 18 years and older who have obesity,26.5,25 - 34,"(39.008830667, -75.577741168)"
2016,Wisconsin,Percent of adults aged 18 years and older who have obesity,27.1,25 - 34,"(44.393191174, -89.816370742)"
2016,Virginia,Percent of adults aged 18 years and older who have obesity,27.8,65 or older,"(37.542680674, -78.457890463)"
2016,Nevada,Percent of adults aged 18 years and older who have obesity,30.7,45 - 54,"(39.49324039, -117.071840564)"
2016,Connecticut,Percent of adults aged 18 years and older who have obesity,24.9,65 or older,"(41.56266102, -72.649840952)"
2016,Guam,Percent of adults aged 18 years and older who have obesity,24.3,65 or older,"(13.444304, 144.793731)"
2016,District of Columbia,Percent of adults aged 18 years and older who have obesity,27.0,35 - 44,"(38.890371385, -77.031961127)"
2016,Tennessee,Percent of adults aged 18 years and older who have obesity,41.3,35 - 44,"(35.68094058, -85.774490914)"
2016,Florida,Percent of adults aged 18 years and older who have obesity,32.6,55 - 64,"(28.932040377, -81.928960539)"
2016,Maine,Percent of adults aged 18 years and older who have obesity,25.8,25 - 34,"(45.254228894001, -68.985031336)"
2016,Georgia,Percent of adults aged 18 years and older who have obesity,37.6,55 - 64,"(32.839681093, -83.627580346)"
2016,Indiana,Percent of adults aged 18 years and older who have obesity,30.6,65 or older,"(39.766910452, -86.149960194)"
2016,Massachusetts,Percent of adults aged 18 years and older who have obesity,24.4,35 - 44,"(42.27687047, -72.082690675)"
2016,Illinois,Percent of adults aged 18 years and older who have obesity,36.9,55 - 64,"(40.485010283, -88.997710178)"
2016,Arkansas,Percent of adults aged 18 years and older who have obesity,39.6,55 - 64,"(34.748650124, -92.274490743)"
2016,Connecticut,Percent of adults aged 18 years and older who have obesity,30.2,45 - 54,"(41.56266102, -72.649840952)"
2016,Missouri,Percent of adults aged 18 years and older who have obesity,40.5,55 - 64,"(38.635790776, -92.566300053)"
2016,Ohio,Percent of adults aged 18 years and older who have obesity,37.5,45 - 54,"(40.060210141, -82.404260056)"
2016,Hawaii,Percent of adults aged 18 years and older who have obesity,30.3,45 - 54,"(21.304850435, -157.857749403)"
2016,West Virginia,Percent of adults aged 18 years and older who have obesity,43.2,55 - 64,"(38.665510202, -80.712640135)"
2016,North Dakota,Percent of adults aged 18 years and older who have obesity,32.1,65 or older,"(47.475319779, -100.118421049)"
2016,California,Percent of adults aged 18 years and older who have obesity,23.2,25 - 34,"(37.638640123, -120.999999538)"
2016,Arkansas,Percent of adults aged 18 years and older who have obesity,28.6,18 - 24,"(34.748650124, -92.274490743)"
2016,South Carolina,Percent of adults aged 18 years and older who have obesity,41.7,45 - 54,"(33.998821303, -81.045371207)"
2016,Rhode Island,Percent of adults aged 18 years and older who have obesity,27.1,35 - 44,"(41.708280193, -71.522470314)"
2016,Guam,Percent of adults aged 18 years and older who have obesity,32.2,45 - 54,"(13.444304, 144.793731)"
2016,Oregon,Percent of adults aged 18 years and older who have obesity,35.4,45 - 54,"(44.567449424, -120.155031326)"
2016,Puerto Rico,Percent of adults aged 18 years and older who have obesity,36.7,55 - 64,"(18.220833, -66.590149)"
2016,North Dakota,Percent of adults aged 18 years and older who have obesity,38.3,45 - 54,"(47.475319779, -100.118421049)"
2016,Connecticut,Percent of adults aged 18 years and older who have obesity,29.7,35 - 44,"(41.56266102, -72.649840952)"
2016,Utah,Percent of adults aged 18 years and older who have obesity,29.0,35 - 44,"(39.360700171, -111.587130635)"
2016,Utah,Percent of adults aged 18 years and older who have obesity,34.5,55 - 64,"(39.360700171, -111.587130635)"
2016,Arkansas,Percent of adults aged 18 years and older who have obesity,42.7,45 - 54,"(34.748650124, -92.274490743)"
2016,Idaho,Percent of adults aged 18 years and older who have obesity,21.5,18 - 24,"(43.682630005, -114.363730042)"
2016,New Mexico,Percent of adults aged 18 years and older who have obesity,31.7,25 - 34,"(34.520880952, -106.240580985)"
2016,New Jersey,Percent of adults aged 18 years and older who have obesity,33.9,55 - 64,"(40.130570048, -74.273691288)"
2016,Colorado,Percent of adults aged 18 years and older who have obesity,25.0,35 - 44,"(38.843840757, -106.133610921)"
2016,South Carolina,Percent of adults aged 18 years and older who have obesity,31.1,25 - 34,"(33.998821303, -81.045371207)"
2016,Kentucky,Percent of adults aged 18 years and older who have obesity,39.0,45 - 54,"(37.645970271, -84.774971048)"
2016,North Carolina,Percent of adults aged 18 years and older who have obesity,36.4,35 - 44,"(35.466220975, -79.159250463)"
2016,Delaware,Percent of adults aged 18 years and older who have obesity,30.4,65 or older,"(39.008830667, -75.577741168)"
2016,West Virginia,Percent of adults aged 18 years and older who have obesity,40.8,35 - 44,"(38.665510202, -80.712640135)"
2016,Florida,Percent of adults aged 18 years and older who have obesity,25.8,65 or older,"(28.932040377, -81.928960539)"
2016,Michigan,Percent of adults aged 18 years and older who have obesity,28.9,25 - 34,"(44.661319543001, -84.71439027)"
2016,Vermont,Percent of adults aged 18 years and older who have obesity,30.7,35 - 44,"(43.625381239, -72.517640791)"
2016,Hawaii,Percent of adults aged 18 years and older who have obesity,16.0,65 or older,"(21.304850435, -157.857749403)"
2016,Arizona,Percent of adults aged 18 years and older who have obesity,14.4,18 - 24,"(34.86597028, -111.763811277)"
2016,Georgia,Percent of adults aged 18 years and older who have obesity,35.8,35 - 44,"(32.839681093, -83.627580346)"
2016,Rhode Island,Percent of adults aged 18 years and older who have obesity,25.8,25 - 34,"(41.708280193, -71.522470314)"
2016,Oklahoma,Percent of adults aged 18 years and older who have obesity,36.3,55 - 64,"(35.472031356, -97.521070214)"
2016,South Dakota,Percent of adults aged 18 years and older who have obesity,34.2,55 - 64,"(44.353130053, -100.373530637)"
2016,Hawaii,Percent of adults aged 18 years and older who have obesity,26.3,25 - 34,"(21.304850435, -157.857749403)"
2016,Nebraska,Percent of adults aged 18 years and older who have obesity,31.3,25 - 34,"(41.641040988001, -99.365720623)"
2016,Hawaii,Percent of adults aged 18 years and older who have obesity,13.9,18 - 24,"(21.304850435, -157.857749403)"
2016,Louisiana,Percent of adults aged 18 years and older who have obesity,35.3,65 or older,"(31.312660644, -92.445680071)"
2016,District of Columbia,Percent of adults aged 18 years and older who have obesity,31.4,55 - 64,"(38.890371385, -77.031961127)"
2016,Texas,Percent of adults aged 18 years and older who have obesity,38.0,35 - 44,"(31.827240407, -99.426770206)"
2016,New Mexico,Percent of adults aged 18 years and older who have obesity,24.0,65 or older,"(34.520880952, -106.240580985)"
2016,Colorado,Percent of adults aged 18 years and older who have obesity,21.0,65 or older,"(38.843840757, -106.133610921)"
2016,Arizona,Percent of adults aged 18 years and older who have obesity,34.5,35 - 44,"(34.86597028, -111.763811277)"
2016,Alaska,Percent of adults aged 18 years and older who have obesity,35.3,65 or older,"(64.845079957001, -147.722059036)"
2016,Utah,Percent of adults aged 18 years and older who have obesity,31.7,45 - 54,"(39.360700171, -111.587130635)"
2016,Alabama,Percent of adults aged 18 years and older who have obesity,43.5,45 - 54,"(32.840571122, -86.631860762)"
2016,Montana,Percent of adults aged 18 years and older who have obesity,15.4,18 - 24,"(47.066528972, -109.424420645)"
2016,Rhode Island,Percent of adults aged 18 years and older who have obesity,33.7,55 - 64,"(41.708280193, -71.522470314)"
2016,Indiana,Percent of adults aged 18 years and older who have obesity,17.6,18 - 24,"(39.766910452, -86.149960194)"
2016,Maryland,Percent of adults aged 18 years and older who have obesity,28.3,25 - 34,"(39.290580964, -76.609260111)"
2016,North Dakota,Percent of adults aged 18 years and older who have obesity,17.7,18 - 24,"(47.475319779, -100.118421049)"
2016,South Carolina,Percent of adults aged 18 years and older who have obesity,38.2,35 - 44,"(33.998821303, -81.045371207)"
2016,New Mexico,Percent of adults aged 18 years and older who have obesity,33.0,45 - 54,"(34.520880952, -106.240580985)"
2016,North Dakota,Percent of adults aged 18 years and older who have obesity,32.0,25 - 34,"(47.475319779, -100.118421049)"
2016,New Jersey,Percent of adults aged 18 years and older who have obesity,32.0,45 - 54,"(40.130570048, -74.273691288)"
2016,New York,Percent of adults aged 18 years and older who have obesity,22.4,25 - 34,"(42.827001032, -75.543970427)"
2016,Massachusetts,Percent of adults aged 18 years and older who have obesity,28.6,55 - 64,"(42.27687047, -72.082690675)"
2016,Georgia,Percent of adults aged 18 years and older who have obesity,36.7,45 - 54,"(32.839681093, -83.627580346)"
2016,Wisconsin,Percent of adults aged 18 years and older who have obesity,35.5,35 - 44,"(44.393191174, -89.816370742)"
2016,Iowa,Percent of adults aged 18 years and older who have obesity,28.2,25 - 34,"(42.469400913, -93.816490556)"
2016,District of Columbia,Percent of adults aged 18 years and older who have obesity,17.3,25 - 34,"(38.890371385, -77.031961127)"
2016,Washington,Percent of adults aged 18 years and older who have obesity,27.2,25 - 34,"(47.522278629, -120.47001079)"
2016,Washington,Percent of adults aged 18 years and older who have obesity,32.9,45 - 54,"(47.522278629, -120.47001079)"
2016,Idaho,Percent of adults aged 18 years and older who have obesity,30.7,55 - 64,"(43.682630005, -114.363730042)"
2016,Kansas,Percent of adults aged 18 years and older who have obesity,19.8,18 - 24,"(38.3477403, -98.200781227)"
2016,New York,Percent of adults aged 18 years and older who have obesity,31.1,55 - 64,"(42.827001032, -75.543970427)"
2016,Nebraska,Percent of adults aged 18 years and older who have obesity,37.6,55 - 64,"(41.641040988001, -99.365720623)"
2016,Michigan,Percent of adults aged 18 years and older who have obesity,36.6,45 - 54,"(44.661319543001, -84.71439027)"
2016,Wisconsin,Percent of adults aged 18 years and older who have obesity,35.9,55 - 64,"(44.393191174, -89.816370742)"
2016,Nevada,Percent of adults aged 18 years and older who have obesity,24.8,35 - 44,"(39.49324039, -117.071840564)"
2016,Georgia,Percent of adults aged 18 years and older who have obesity,31.0,65 or older,"(32.839681093, -83.627580346)"
2016,New York,Percent of adults aged 18 years and older who have obesity,24.6,65 or older,"(42.827001032, -75.543970427)"
2016,Louisiana,Percent of adults aged 18 years and older who have obesity,45.2,35 - 44,"(31.312660644, -92.445680071)"
2016,Wyoming,Percent of adults aged 18 years and older who have obesity,25.8,65 or older,"(43.235541343, -108.109830353)"
2016,Hawaii,Percent of adults aged 18 years and older who have obesity,26.4,55 - 64,"(21.304850435, -157.857749403)"
2021,New Hampshire,Percent of adults aged 18 years and older who have obesity,25.9,65 or older,"(43.65595011300047, -71.50036091999965)"
2021,New Mexico,Percent of adults aged 18 years and older who have obesity,47.8,45 - 54,"(34.52088095200048, -106.24058098499967)"
2021,Louisiana,Percent of adults aged 18 years and older who have obesity,35.3,65 or older,"(31.31266064400046, -92.44568007099969)"
2021,Virgin Islands,Percent of adults aged 18 years and older who have obesity,18.9,65 or older,"(18.335765, -64.896335)"
2021,West Virginia,Percent of adults aged 18 years and older who have obesity,48.0,45 - 54,"(38.66551020200046, -80.71264013499967)"
2021,Nebraska,Percent of adults aged 18 years and older who have obesity,42.0,45 - 54,"(41.6410409880005, -99.36572062299967)"
2021,Hawaii,Percent of adults aged 18 years and older who have obesity,16.6,65 or older,"(21.304850435000446, -157.85774940299973)"
2021,Wyoming,Percent of adults aged 18 years and older who have obesity,34.8,45 - 54,"(43.23554134300048, -108.10983035299967)"
2021,Rhode Island,Percent of adults aged 18 years and older who have obesity,33.3,55 - 64,"(41.70828019300046, -71.52247031399963)"
2021,Arizona,Percent of adults aged 18 years and older who have obesity,35.1,55 - 64,"(34.865970280000454, -111.76381127699972)"
2021,Tennessee,Percent of adults aged 18 years and older who have obesity,41.0,35 - 44,"(35.68094058000048, -85.77449091399967)"
2021,West Virginia,Percent of adults aged 18 years and older who have obesity,35.9,65 or older,"(38.66551020200046, -80.71264013499967)"
2021,Maryland,Percent of adults aged 18 years and older who have obesity,40.4,55 - 64,"(39.29058096400047, -76.60926011099963)"
